20 graphs in wdGraphs.txt.

** G1: |V|=5, V={0,1,...4}
(u, v, weight) E = { 
      (141, 61, 94.363)
      (141, 121, 41.876)
      (141, 157, 27.032)
      (141, 210,  8.044)
      (141, 230, 41.348)
      (141, 235, 66.279)
      (142, 58, 76.573)
      (142, 88, 85.641)
      (142, 208, 31.166)
      (142, 230, 30.341)
      (143, 18, 61.788)
      (143, 24, 90.903)
      (143, 79, 75.956)
      (143, 118, 99.723)
      (143, 144, 21.859)
      (143, 172,  1.722)
      (143, 173, 78.714)
      (143, 177,  1.311)
      (143, 220, 69.657)
      (143, 221, 36.918)
      (143, 240, 79.369)
      (143, 241, 58.889)
      (143, 248, 44.929)
      (144, 47, 49.741)
      (144, 58, 67.906)
      (144, 134, 23.665)
      (144, 145,  0.471)
      (144, 199, 74.348)
      (144, 224, 75.229)
      (145, 62, 92.920)
      (145, 120, 59.686)
      (145, 185, 68.937)
      (145, 188, 24.003)
      (145, 241, 24.274)
      (146,  4, 55.705)
      (146, 25, 79.663)
      (146, 33,  0.502)
      (146, 99, 10.540)
      (146, 161, 74.894)
      (146, 163, 50.707)
      (146, 177, 88.092)
      (146, 232, 51.480)
      (147, 34, 98.270)
      (147, 56, 32.248)
      (147, 180, 74.052)
      (147, 201, 26.632)
      (148, 96, 66.193)
      (148, 188, 70.018)
      (148, 198, 78.705)
      (148, 222, 25.995)
      (149, 16, 38.490)
      (149, 150, 51.836)
      (149, 239, 92.229)
      (150, 47, 61.014)
      (150, 78, 69.352)
      (150, 97, 36.966)
      (150, 104, 23.881)
      (150, 110, 51.557)
      (150, 139, 74.768)
      (150, 143, 95.274)
      (150, 176, 25.853)
      (151, 38, 33.185)
      (151, 77, 36.195)
      (151, 212, 13.711)
      (151, 223, 58.962)
      (151, 243, 92.369)
      (152, 89, 84.432)
      (152, 90, 51.427)
      (152, 124, 69.433)
      (152, 219, 15.992)
      (153, 74, 60.239)
      (153, 80, 65.051)
      (153, 81, 81.386)
      (153, 111, 76.776)
      (153, 114, 94.867)
      (153, 160, 16.185)
      (153, 192, 60.609)
      (153, 217, 99.323)
      (154, 19,  3.919)
      (154, 30, 29.224)
      (154, 187, 95.712)
      (154, 192, 44.477)
      (154, 217, 42.317)
      (154, 251, 99.435)
      (155, 87, 18.786)
      (155, 110, 97.262)
      (155, 118, 94.575)
      (155, 125,  2.034)
      (155, 153, 76.842)
      (155, 161, 75.584)
      (155, 191, 90.834)
      (155, 252, 30.622)
      (156, 37, 89.450)
      (156, 110, 34.901)
      (156, 119, 72.918)
      (156, 203, 96.878)
      (157, 76, 85.327)
      (157, 117, 79.192)
      (157, 129, 13.860)
      (157, 144, 10.949)
      (157, 167, 40.059)
      (157, 169, 68.497)
      (158, 124, 31.168)
      (158, 155, 59.683)
      (158, 159, 79.728)
      (158, 173, 48.668)
      (158, 185, 86.233)
      (158, 198, 66.913)
      (158, 218, 76.270)
      (158, 229, 15.290)
      (159, 63,  2.175)
      (159, 105, 99.538)
      (159, 148, 89.531)
      (159, 203, 40.055)
      (159, 207, 42.838)
      (160, 32, 79.222)
      (160, 58, 51.179)
      (160, 60,  7.268)
      (160, 162, 20.067)
      (160, 174, 72.285)
      (160, 178, 58.095)
      (160, 203, 58.549)
      (160, 235, 38.107)
      (160, 252, 65.657)
      (161, 64, 81.089)
      (161, 106, 39.200)
      (161, 123,  9.444)
      (161, 158, 19.027)
      (161, 184, 74.073)
      (161, 196, 75.592)
      (161, 223, 57.568)
      (161, 240, 91.864)
      (162,  6, 40.038)
      (162, 45, 67.445)
      (162, 51, 41.090)
      (162, 96,  7.174)
      (162, 105, 83.450)
      (162, 124, 96.907)
      (162, 149, 22.419)
      (162, 152, 75.692)
      (162, 156, 83.073)
      (162, 165, 10.342)
      (162, 185, 28.099)
      (162, 214,  6.382)
      (163, 229, 84.140)
      (164, 16, 71.538)
      (164, 19, 40.522)
      (164, 201, 61.244)
      (165,  3, 92.757)
      (165, 77, 71.228)
      (165, 133, 49.465)
      (165, 150, 11.468)
      (165, 176, 32.618)
      (165, 216, 49.009)
      (165, 252, 54.095)
      (166, 45, 31.266)
      (166, 56, 21.582)
      (166, 59, 27.308)
      (166, 93, 29.462)
      (166, 114, 74.483)
      (166, 144, 77.927)
      (166, 159, 99.410)
      (166, 171, 54.829)
      (166, 197, 13.655)
      (166, 254, 24.103)
      (167, 21, 21.241)
      (167, 61, 22.094)
      (167, 81, 92.988)
      (167, 222, 80.464)
      (167, 240, 14.129)
      (168,  9,  8.719)
      (168, 34, 55.540)
      (168, 69, 80.857)
      (168, 86, 64.818)
      (168, 97, 37.817)
      (168, 98, 11.834)
      (168, 132,  7.220)
      (168, 141, 57.079)
      (168, 142, 33.413)
      (168, 144,  2.863)
      (168, 206, 98.436)
      (168, 221, 26.526)
      (169, 14, 34.063)
      (169, 126, 72.324)
      (169, 129, 60.068)
      (169, 155, 76.759)
      (169, 177, 20.006)
      (169, 249, 15.395)
      (170,  7, 49.028)
      (170, 24, 21.149)
      (170, 36, 19.386)
      (170, 39,  8.453)
      (170, 44, 95.087)
      (170, 60,  0.674)
      (170, 78, 55.741)
      (170, 100, 20.143)
      (170, 144, 40.869)
      (170, 180, 36.898)
      (171, 42, 82.249)
      (171, 154,  3.565)
      (171, 180, 21.570)
      (171, 205, 76.413)
      (171, 215, 30.469)
      (172, 30, 26.981)
      (172, 47, 37.358)
      (172, 65,  7.504)
      (172, 79, 81.016)
      (172, 105, 78.966)
      (172, 118, 85.676)
      (172, 138, 99.450)
      (172, 145, 27.993)
      (173, 64, 50.818)
      (173, 214, 47.017)
      (173, 247, 38.614)
      (174, 70, 48.470)
      (174, 96, 14.791)
      (174, 102, 99.341)
      (174, 136, 56.869)
      (174, 154, 98.048)
      (174, 160, 64.870)
      (174, 247, 79.950)
      (175, 48, 47.293)
      (175, 60, 65.559)
      (175, 75, 57.056)
      (175, 84, 29.110)
      (175, 103, 14.699)
      (175, 120, 85.940)
      (175, 132,  0.650)
      (175, 179, 15.652)
      (176, 31, 76.892)
      (176, 59, 38.878)
      (176, 68, 23.962)
      (176, 100, 71.762)
      (176, 110,  6.737)
      (176, 159, 34.589)
      (176, 166, 45.488)
      (176, 168, 21.745)
      (176, 182,  3.052)
      (176, 202, 80.236)
      (176, 226, 72.972)
      (176, 253, 73.556)
      (177,  6, 53.113)
      (177, 96, 21.865)
      (177, 112, 67.780)
      (177, 128, 99.887)
      (177, 137, 78.378)
      (177, 142, 36.522)
      (177, 145, 82.546)
      (177, 231,  4.875)
      (177, 233, 96.286)
      (177, 243, 44.019)
      (178, 15, 37.988)
      (178, 75, 66.924)
      (178, 104, 64.591)
      (178, 126, 54.602)
      (178, 167, 65.386)
      (178, 169, 70.723)
      (178, 234, 73.987)
      (179, 77, 37.432)
      (179, 143, 26.227)
      (179, 168, 66.880)
      (179, 203, 84.574)
      (179, 230, 81.513)
      (180, 55, 83.576)
      (180, 73, 38.707)
      (180, 87, 25.835)
      (180, 111, 85.972)
      (180, 142, 47.189)
      (180, 150, 70.528)
      (180, 214, 46.304)
      (181, 27, 95.085)
      (181, 53, 84.070)
      (181, 88, 82.074)
      (181, 129,  6.227)
      (182,  5, 34.969)
      (182, 22, 85.629)
      (182, 27, 88.500)
      (182, 84,  1.556)
      (182, 154, 14.325)
      (182, 157, 75.237)
      (182, 211,  9.661)
      (182, 248, 46.158)
      (183,  3, 24.647)
      (183, 55,  1.698)
      (183, 88, 95.508)
      (183, 166, 94.975)
      (183, 187, 66.486)
      (183, 246, 73.277)
      (184, 80,  2.907)
      (184, 159, 69.348)
      (184, 160, 87.324)
      (184, 218, 94.085)
      (185, 27, 47.167)
      (185, 41, 53.125)
      (185, 120, 37.064)
      (185, 139, 67.310)
      (185, 173, 50.938)
      (185, 180, 71.201)
      (185, 181, 36.049)
      (186, 26, 96.057)
      (186, 43, 18.998)
      (186, 51,  7.724)
      (186, 132, 46.937)
      (187, 39, 83.674)
      (187, 128, 82.256)
      (187, 168, 48.800)
      (188, 16, 83.837)
      (188, 27, 63.726)
      (188, 32, 24.940)
      (188, 39, 45.631)
      (188, 77, 77.567)
      (188, 120, 67.581)
      (188, 164, 51.312)
      (188, 166, 66.954)
      (188, 217, 98.490)
      (188, 251, 85.853)
      (189, 30, 70.159)
      (189, 93, 13.759)
      (189, 146,  5.944)
      (189, 161, 13.703)
      (189, 192, 40.718)
      (189, 214, 90.793)
      (190, 14, 72.088)
      (190, 23, 84.050)
      (190, 36, 64.577)
      (190, 68, 55.681)
      (190, 70, 95.549)
      (190, 106, 26.087)
      (190, 131, 15.271)
      (190, 157, 75.380)
      (190, 177, 86.728)
      (190, 207, 98.806)
      (190, 208, 19.110)
      (191,  8, 37.476)
      (191, 53, 88.363)
      (191, 66, 12.656)
      (191, 178,  3.737)
      (191, 180, 88.123)
      (191, 214, 21.106)
      (192,  6, 34.637)
      (192, 32, 97.381)
      (192, 49, 41.511)
      (192, 66, 80.438)
      (192, 121, 32.372)
      (192, 221, 70.381)
      (192, 234,  0.966)
      (193, 16, 60.284)
      (193, 27, 30.281)
      (193, 122, 54.249)
      (193, 148, 69.848)
      (193, 228, 15.306)
      (194,  5, 91.220)
      (194, 10, 26.524)
      (194, 94, 71.717)
      (194, 96, 62.351)
      (194, 121, 88.167)
      (194, 137, 65.883)
      (194, 168, 66.259)
      (194, 173, 68.760)
      (194, 187,  8.817)
      (194, 204, 78.314)
      (194, 221, 92.963)
      (194, 223, 18.665)
      (195, 13, 24.689)
      (195, 23, 32.306)
      (195, 102, 88.589)
      (195, 118, 35.243)
      (195, 156, 22.923)
      (195, 174, 93.806)
      (195, 183, 28.355)
      (195, 198, 51.298)
      (195, 200, 19.815)
      (196, 24, 19.267)
      (196, 30,  2.989)
      (196, 57,  6.598)
      (196, 104, 21.379)
      (196, 143, 29.061)
      (196, 161, 38.575)
      (196, 163, 44.848)
      (196, 221, 90.523)
      (196, 246, 13.626)
      (196, 250, 93.304)
      (197, 61, 68.513)
      (197, 120, 89.273)
      (197, 175, 97.060)
      (197, 185, 53.147)
      (198,  5, 64.126)
      (198, 50, 17.009)
      (198, 131, 44.046)
      (198, 192, 13.688)
      (199,  0, 58.403)
      (199, 103, 64.947)
      (199, 120, 95.476)
      (199, 135, 92.363)
      (199, 149, 49.174)
      (199, 156, 45.627)
      (199, 192, 12.366)
      (200, 38, 85.638)
      (200, 125, 91.248)
      (200, 136, 28.514)
      (200, 144, 99.581)
      (200, 171, 96.598)
      (200, 183,  2.493)
      (200, 208, 61.879)
      (200, 213, 92.275)
      (201, 66, 71.619)
      (201, 93, 60.295)
      (201, 154, 20.060)
      (201, 158, 34.778)
      (201, 166, 27.367)
      (201, 196, 11.204)
      (202,  4, 14.304)
      (202, 34, 21.427)
      (202, 55,  0.624)
      (202, 60, 28.182)
      (202, 61, 31.153)
      (202, 125, 39.504)
      (202, 166, 70.032)
      (202, 175, 67.766)
      (202, 187, 15.504)
      (202, 200, 37.037)
      (202, 212, 50.519)
      (202, 229, 86.272)
      (202, 241, 12.274)
      (203, 22, 62.734)
      (203, 23, 48.067)
      (203, 103,  1.472)
      (203, 133, 74.673)
      (203, 139, 89.027)
      (203, 191, 17.196)
      (203, 217, 91.779)
      (203, 241,  7.690)
      (203, 252, 91.027)
      (204,  0, 61.813)
      (204, 76, 49.768)
      (204, 86, 14.601)
      (204, 180, 31.652)
      (204, 196, 35.739)
      (204, 224, 83.916)
      (205, 19, 33.549)
      (205, 40, 69.934)
      (205, 115, 71.246)
      (205, 137,  9.901)
      (205, 148, 88.313)
      (205, 213, 64.638)
      (205, 216, 78.527)
      (205, 232, 48.005)
      (206,  6, 64.034)
      (206, 103, 36.033)
      (206, 109, 93.097)
      (206, 207, 32.767)
      (206, 215, 77.774)
      (206, 242, 50.838)
      (207,  9,  0.366)
      (207, 30, 26.749)
      (207, 31,  6.666)
      (207, 44, 27.355)
      (207, 83, 56.920)
      (207, 116, 50.035)
      (208, 18, 96.477)
      (208, 83, 47.112)
      (208, 94, 51.796)
      (208, 158, 14.818)
      (208, 197, 70.062)
      (209, 18, 82.883)
      (209, 47,  0.915)
      (209, 86, 87.098)
      (209, 188, 65.247)
      (210,  4, 78.434)
      (210, 54, 85.766)
      (210, 105, 40.809)
      (210, 213, 85.094)
      (210, 253, 59.479)
      (211, 47,  7.113)
      (211, 55, 96.752)
      (211, 110, 71.585)
      (211, 114, 81.114)
      (212, 11, 79.746)
      (212, 31, 38.586)
      (212, 153, 16.450)
      (212, 164, 54.568)
      (212, 181, 72.677)
      (212, 186, 33.091)
      (212, 203, 23.347)
      (212, 219, 12.625)
      (212, 227, 30.919)
      (213, 98, 22.418)
      (213, 125,  4.022)
      (213, 127, 24.561)
      (213, 133, 63.280)
      (213, 199, 56.960)
      (213, 218, 24.416)
      (213, 243, 70.894)
      (213, 251, 24.568)
      (214,  4, 40.923)
      (214, 24, 92.936)
      (214, 69, 77.812)
      (214, 209, 26.045)
      (215, 18, 69.331)
      (215, 65, 58.159)
      (215, 124, 64.438)
      (215, 192, 31.780)
      (216, 12, 28.150)
      (216, 43, 23.676)
      (216, 66, 67.055)
      (216, 106, 44.030)
      (216, 115, 63.980)
      (216, 140, 53.106)
      (216, 205, 21.136)
      (217, 60, 52.538)
      (217, 67, 45.670)
      (217, 90, 72.512)
      (217, 93, 88.653)
      (217, 185, 81.728)
      (217, 223, 79.321)
      (218, 10,  2.609)
      (218, 95, 51.122)
      (218, 214, 44.874)
      (218, 217,  5.838)
      (218, 238, 96.902)
      (218, 242,  4.364)
      (219,  0, 24.094)
      (219, 65, 46.924)
      (219, 182, 61.480)
      (219, 185,  9.258)
      (219, 202, 53.902)
      (219, 220, 43.056)
      (220, 14, 82.789)
      (220, 130, 13.153)
      (220, 142, 50.617)
      (220, 206, 60.329)
      (221,  5,  2.457)
      (221, 79, 36.915)
      (221, 89, 16.056)
      (221, 125, 56.668)
      (221, 165, 97.059)
      (222,  7, 29.365)
      (222, 29, 74.684)
      (222, 30, 92.931)
      (222, 109, 55.294)
      (222, 160, 10.498)
      (222, 167, 41.133)
      (222, 230, 36.752)
      (223, 23, 46.708)
      (223, 33, 26.500)
      (223, 82, 41.801)
      (223, 112, 36.164)
      (223, 200, 17.088)
      (223, 221,  4.244)
      (223, 250, 36.539)
      (224,  9, 65.341)
      (224, 23, 45.097)
      (224, 85, 94.602)
      (224, 125, 21.330)
      (224, 233, 79.995)
      (225,  9, 10.197)
      (225, 93, 16.144)
      (225, 188, 53.211)
      (225, 231, 31.716)
      (226, 19, 77.862)
      (226, 71, 94.027)
      (226, 107, 95.306)
      (227, 15, 19.781)
      (227, 95, 70.032)
      (227, 171, 29.666)
      (227, 247, 67.330)
      (228, 33, 93.313)
      (228, 35, 52.506)
      (228, 41, 52.807)
      (228, 90, 87.423)
      (228, 119, 78.748)
      (228, 133, 42.535)
      (228, 192, 48.266)
      (228, 215, 62.988)
      (229, 25, 18.394)
      (229, 41, 72.434)
      (230, 181, 86.678)
      (230, 227, 36.790)
      (230, 231, 56.658)
      (231, 32, 64.275)
      (231, 69, 48.960)
      (231, 133, 58.323)
      (231, 151,  4.546)
      (231, 205, 20.234)
      (231, 215, 63.942)
      (231, 219, 13.156)
      (232, 19, 28.052)
      (232, 24, 21.771)
      (232, 77,  3.761)
      (232, 162, 81.230)
      (232, 177, 54.162)
      (232, 199, 45.882)
      (232, 223,  2.910)
      (233,  5, 52.625)
      (233, 41, 32.625)
      (233, 53, 66.868)
      (233, 68, 44.105)
      (233, 98, 75.673)
      (233, 118, 27.398)
      (233, 129, 63.326)
      (233, 134, 72.037)
      (233, 153, 34.752)
      (233, 160, 22.514)
      (233, 190, 31.781)
      (233, 226, 61.565)
      (234, 22, 15.944)
      (234, 36, 60.570)
      (234, 103,  1.687)
      (234, 136, 99.902)
      (234, 156, 92.387)
      (234, 157, 14.311)
      (234, 204, 65.248)
      (234, 205, 29.944)
      (234, 246, 81.543)
      (235,  8, 51.200)
      (235, 123, 79.889)
      (235, 148, 43.242)
      (235, 205, 29.941)
      (235, 211, 99.069)
      (236,  5, 14.812)
      (236,  6, 86.849)
      (236, 15, 60.784)
      (236, 55, 79.172)
      (236, 95, 22.864)
      (236, 162, 82.198)
      (236, 165,  2.458)
      (236, 181, 85.019)
      (236, 207, 77.905)
      (236, 230, 29.204)
      (237, 86, 88.895)
      (237, 115, 29.486)
      (237, 146, 76.117)
      (237, 246,  5.056)
      (238, 17, 21.985)
      (238, 24, 37.181)
      (238, 61, 16.323)
      (238, 91,  0.050)
      (238, 180, 73.802)
      (238, 213, 29.906)
      (239, 50, 24.357)
      (239, 118, 99.622)
      (239, 138, 70.408)
      (239, 151, 66.921)
      (239, 158, 85.966)
      (239, 162, 11.362)
      (239, 207,  5.353)
      (239, 225, 27.454)
      (239, 248, 56.779)
      (240, 103, 38.323)
      (240, 116, 31.466)
      (240, 133,  9.222)
      (240, 170, 32.104)
      (240, 196, 37.164)
      (240, 226, 30.656)
      (241,  0, 57.584)
      (241, 26, 46.478)
      (241, 59, 14.462)
      (241, 60, 18.109)
      (241, 198,  3.607)
      (241, 206, 79.575)
      (242, 24, 44.939)
      (242, 85, 52.275)
      (242, 115, 40.954)
      (242, 149, 73.967)
      (242, 188, 14.309)
      (242, 216, 40.817)
      (243,  5, 59.664)
      (243, 92, 95.837)
      (243, 107, 59.579)
      (243, 138,  1.233)
      (243, 161, 48.715)
      (243, 190, 75.593)
      (244, 119,  8.163)
      (244, 126, 63.880)
      (245,  6, 99.831)
      (245, 10, 79.898)
      (245, 101, 50.069)
      (245, 108, 83.775)
      (245, 139, 55.375)
      (246, 105, 64.967)
      (246, 236, 87.193)
      (247, 235, 88.661)
      (248, 49, 94.479)
      (248, 76,  5.448)
      (248, 178, 94.370)
      (248, 221, 55.768)
      (249, 74,  9.068)
      (249, 79, 89.103)
      (249, 107, 71.613)
      (249, 125, 28.418)
      (249, 146, 33.256)
      (249, 178, 32.177)
      (249, 193,  9.906)
      (249, 196, 11.086)
      (249, 225, 42.336)
      (250,  3, 48.649)
      (250,  7, 37.804)
      (250, 96, 25.399)
      (250, 135, 83.826)
      (250, 191, 56.456)
      (250, 229, 85.912)
      (250, 231, 44.221)
      (251, 14, 76.088)
      (251, 19, 66.064)
      (251, 23, 56.144)
      (251, 44, 18.414)
      (251, 83, 74.879)
      (251, 84, 40.771)
      (251, 87, 16.001)
      (251, 89,  9.136)
      (251, 121,  2.200)
      (251, 233, 34.062)
      (251, 242, 26.522)
      (252,  6, 77.481)
      (252, 41, 40.457)
      (252, 105, 88.177)
      (252, 124, 60.132)
      (252, 152, 31.833)
      (252, 202, 41.574)
      (253, 70, 79.447)
      (253, 75, 82.585)
      (253, 82, 59.857)
      (253, 83, 98.939)
      (253, 100, 83.727)
      (253, 111, 12.989)
      (253, 184,  9.828)
      (253, 251, 22.758)
      (254, 48,  3.544)
      (254, 131, 28.071)
      (254, 182, 69.028) }
------------------------- 

** G12: |V|=255, V={0,1,...254}
(u, v, weight) E = { 
      ( 0,  1, 97.334)
      ( 0, 61, 27.339)
      ( 0, 74, 95.275)
      ( 0, 129, 78.787)
      ( 0, 193, 14.045)
      ( 0, 209, 29.539)
      ( 0, 210, 89.437)
      ( 1, 18, 26.921)
      ( 1, 61, 51.641)
      ( 1, 149, 40.686)
      ( 1, 180, 92.485)
      ( 1, 196, 83.572)
      ( 1, 206, 46.004)
      ( 1, 218, 66.766)
      ( 2,  4, 57.918)
      ( 2, 35, 93.110)
      ( 2, 37, 41.716)
      ( 2, 116, 84.826)
      ( 2, 158, 62.301)
      ( 2, 193, 41.295)
      ( 2, 206, 16.890)
      ( 2, 210, 48.091)
      ( 3, 20, 41.153)
      ( 3, 34, 36.946)
      ( 3, 50, 68.483)
      ( 3, 119, 67.236)
      ( 3, 127, 40.204)
      ( 3, 185, 61.133)
      ( 3, 215,  2.924)
      ( 3, 229, 60.744)
      ( 4, 46, 13.828)
      ( 4, 57, 15.623)
      ( 4, 117, 59.045)
      ( 4, 127, 53.544)
      ( 4, 129,  2.987)
      ( 4, 150, 48.272)
      ( 4, 172,  7.605)
      ( 4, 177, 70.910)
      ( 4, 184, 32.434)
      ( 5,  0, 49.513)
      ( 5, 30,  2.162)
      ( 5, 101, 87.048)
      ( 5, 176, 88.360)
      ( 5, 183, 73.972)
      ( 5, 202, 52.797)
      ( 5, 226,  5.888)
      ( 6,  2, 99.060)
      ( 6, 41,  2.748)
      ( 6, 86, 25.653)
      ( 6, 87, 34.892)
      ( 6, 164, 48.676)
      ( 6, 172,  2.627)
      ( 6, 175, 63.505)
      ( 6, 210,  1.917)
      ( 7, 33, 98.665)
      ( 7, 200, 75.511)
      ( 7, 221, 44.219)
      ( 8, 39, 28.748)
      ( 8, 47, 48.378)
      ( 8, 59, 74.136)
      ( 8, 171,  7.459)
      ( 8, 195, 29.435)
      ( 8, 217, 92.992)
      ( 9, 34, 59.274)
      ( 9, 92, 88.905)
      ( 9, 133, 14.331)
      ( 9, 198, 78.732)
      ( 9, 217, 16.493)
      (10, 17, 28.270)
      (10, 28, 82.043)
      (10, 95, 55.097)
      (10, 106, 56.980)
      (10, 147, 76.074)
      (10, 207, 47.109)
      (11, 54, 13.136)
      (11, 107,  9.317)
      (11, 114, 60.260)
      (11, 123, 79.102)
      (11, 137, 93.057)
      (11, 164, 73.655)
      (11, 199, 33.024)
      (11, 216, 50.955)
      (12, 65,  5.575)
      (12, 67, 78.865)
      (12, 162, 84.163)
      (13, 45, 98.119)
      (13, 70, 86.172)
      (13, 112, 58.471)
      (13, 146, 39.513)
      (13, 161, 57.243)
      (13, 186, 37.366)
      (14, 41, 20.398)
      (14, 82, 57.250)
      (14, 92, 76.933)
      (14, 103, 25.293)
      (14, 125, 54.937)
      (14, 126,  2.564)
      (14, 128, 58.090)
      (14, 129, 57.718)
      (14, 152, 30.323)
      (14, 176, 72.764)
      (15, 25, 22.917)
      (15, 31, 58.623)
      (15, 41,  5.527)
      (15, 90, 57.868)
      (15, 102, 46.660)
      (15, 105, 46.902)
      (15, 138, 11.841)
      (15, 178, 36.553)
      (15, 215,  8.544)
      (16, 64, 34.187)
      (16, 123, 99.206)
      (16, 207, 64.023)
      (17, 48,  5.022)
      (17, 69, 74.170)
      (17, 81, 53.702)
      (17, 102,  6.124)
      (17, 127, 66.840)
      (17, 129, 24.689)
      (17, 231, 67.340)
      (17, 233, 73.620)
      (17, 234, 77.080)
      (17, 241, 22.552)
      (18, 99, 82.394)
      (19, 56, 85.550)
      (19, 94, 67.347)
      (19, 126, 84.621)
      (19, 211, 22.136)
      (19, 240, 98.103)
      (20, 23, 78.442)
      (20, 53, 48.415)
      (20, 76, 17.980)
      (21, 121, 81.633)
      (21, 145, 81.694)
      (22, 67, 41.040)
      (22, 80, 40.338)
      (22, 104, 69.806)
      (22, 129, 65.249)
      (22, 132, 81.512)
      (22, 175, 93.418)
      (22, 226, 13.638)
      (22, 240, 57.389)
      (23,  2, 11.568)
      (23, 30,  8.251)
      (23, 32, 72.797)
      (23, 34, 38.341)
      (23, 123, 41.738)
      (23, 244, 94.126)
      (24, 45, 28.068)
      (24, 193, 11.251)
      (24, 208, 97.894)
      (25, 12, 98.931)
      (25, 108, 51.064)
      (25, 205, 90.313)
      (26, 21, 10.736)
      (26, 67, 25.296)
      (26, 110,  5.391)
      (26, 160, 88.190)
      (27, 47,  3.511)
      (27, 51, 65.207)
      (27, 56, 64.255)
      (27, 77, 30.471)
      (27, 86, 70.133)
      (27, 171, 82.812)
      (27, 183, 53.038)
      (28,  0, 61.631)
      (28, 26, 85.202)
      (28, 105, 92.005)
      (28, 112, 82.333)
      (28, 132, 31.657)
      (28, 138,  2.934)
      (28, 140, 79.534)
      (28, 183, 47.345)
      (28, 204, 75.601)
      (28, 208, 50.850)
      (29,  1, 92.239)
      (29, 105, 45.255)
      (29, 138,  1.482)
      (29, 248, 14.931)
      (30, 55, 51.946)
      (30, 57, 62.354)
      (30, 86, 13.818)
      (30, 88, 21.415)
      (30, 162, 68.173)
      (31,  7, 17.706)
      (31, 41, 23.039)
      (31, 66, 20.054)
      (31, 77, 17.987)
      (31, 96, 32.869)
      (31, 111, 21.912)
      (31, 124, 87.178)
      (31, 150, 54.358)
      (31, 196, 88.617)
      (31, 198, 75.148)
      (31, 216, 48.456)
      (31, 226, 84.550)
      (31, 235,  1.029)
      (32, 56, 41.965)
      (32, 104, 81.417)
      (32, 113, 77.962)
      (32, 168, 55.900)
      (32, 251, 74.370)
      (33, 75, 28.936)
      (33, 121, 78.870)
      (33, 131, 89.065)
      (33, 160, 73.904)
      (33, 165, 32.226)
      (33, 192,  3.560)
      (33, 244, 61.809)
      (34, 109, 84.070)
      (34, 154, 43.494)
      (34, 209, 55.905)
      (34, 245, 36.000)
      (34, 246, 85.385)
      (35, 36, 63.239)
      (35, 62, 34.340)
      (35, 100, 28.461)
      (35, 139, 44.944)
      (35, 164, 79.688)
      (36, 19, 31.842)
      (36, 65, 24.110)
      (36, 105, 16.615)
      (36, 124, 55.917)
      (36, 132, 71.083)
      (36, 168, 74.507)
      (36, 242, 24.182)
      (36, 243, 79.757)
      (36, 245, 45.328)
      (37, 73, 16.430)
      (37, 112, 63.785)
      (37, 119, 14.140)
      (37, 246,  5.203)
      (37, 247, 44.983)
      (37, 250, 17.884)
      (38, 12, 64.419)
      (38, 50, 80.252)
      (38, 53, 47.888)
      (38, 59, 59.852)
      (38, 79, 90.309)
      (39, 192, 12.984)
      (39, 201, 65.164)
      (39, 202, 48.033)
      (39, 220, 73.806)
      (39, 232, 45.747)
      (39, 247,  8.039)
      (40, 38, 80.499)
      (40, 100, 11.414)
      (40, 137, 99.883)
      (40, 145, 47.987)
      (40, 168, 10.444)
      (40, 186, 13.840)
      (40, 223, 24.802)
      (41, 40, 30.102)
      (41, 92, 64.172)
      (41, 101, 42.260)
      (41, 114, 56.837)
      (41, 178, 49.217)
      (41, 216, 14.137)
      (41, 221, 60.611)
      (41, 234, 39.245)
      (42, 20, 51.734)
      (42, 125, 56.916)
      (42, 126, 79.043)
      (42, 135, 37.954)
      (42, 139, 66.873)
      (42, 167, 95.487)
      (42, 243, 19.595)
      (43, 79, 33.109)
      (43, 191, 27.165)
      (43, 199, 77.206)
      (44, 94, 30.558)
      (44, 101, 66.326)
      (44, 103, 15.934)
      (44, 120, 95.803)
      (44, 146, 75.854)
      (44, 178, 95.172)
      (44, 201, 28.955)
      (45, 11, 15.305)
      (45, 36, 40.905)
      (45, 43, 25.474)
      (45, 91, 32.314)
      (45, 158, 12.239)
      (45, 190, 99.852)
      (45, 192, 42.246)
      (45, 200, 80.753)
      (45, 205, 46.716)
      (46, 25, 31.293)
      (46, 55, 18.380)
      (46, 81, 44.548)
      (46, 130, 72.067)
      (46, 221, 70.725)
      (47, 81, 24.337)
      (47, 123, 34.944)
      (47, 186, 71.573)
      (47, 190, 26.857)
      (47, 218, 49.317)
      (48, 83, 72.588)
      (48, 104, 68.098)
      (48, 168, 36.578)
      (48, 224, 44.035)
      (49,  7, 44.701)
      (49, 33, 95.176)
      (49, 80, 54.115)
      (49, 96, 35.206)
      (49, 104, 95.365)
      (49, 123,  4.929)
      (49, 174, 97.110)
      (50, 12, 87.069)
      (50, 28, 99.824)
      (50, 29, 19.155)
      (50, 216, 55.739)
      (51, 41, 20.887)
      (51, 89, 16.137)
      (51, 99, 47.243)
      (51, 122, 35.478)
      (51, 129, 20.147)
      (51, 216, 64.590)
      (52, 13, 49.552)
      (52, 46, 26.454)
      (52, 114,  0.605)
      (52, 124, 34.919)
      (52, 133, 94.195)
      (52, 177, 60.821)
      (52, 239, 98.924)
      (53, 24, 57.323)
      (53, 38, 26.496)
      (53, 76, 78.993)
      (53, 171, 94.372)
      (53, 180, 21.390)
